Atom,Element,Coordination,bond ri (Å),angle θ0 (deg),distance,energy,scale ζ,charge Zi,Source,,Vi,Uj,Xi,Hardness,Radius
Tc6+5,Tc,6,1.322,90,2.998,0.048,12,3.4,UFF,,0,0.2,3.29,3.99,1.5
Te3+2,Te,4,1.386,90.25,4.47,0.398,14,2.882,UFF,,0.3,0.2,5.816,3.526,1.38
Th6+4,Th,6,1.721,90,3.396,0.026,12,4.202,UFF,,0,0,3.175,2.905,2.018
Ti3+4,Ti,4,1.412,109.47,3.175,0.017,12,2.659,UFF,,0,0.7,3.47,3.38,1.607
Ti4+2,Ti,4,1.38,90,3.175,0.017,12,2.659,UFF4MOF,,,,,,
Ti6+4,Ti,6,1.412,90,3.175,0.017,12,2.659,UFF,,0,0.7,3.47,3.38,1.607
Ti8f4,Ti,8,1.46,109.47,3.175,0.017,12,2.659,UFF4MOF2,,,,,,
Tl3+3,Tl,4,1.518,120,4.347,0.68,11,2.068,UFF,,0,0.1,3.2,2.9,1.53
Tm6+3,Tm,6,1.66,90,3.374,0.006,12,3.3,UFF,,0,0.1,3.2514,2.9329,2
Tm8f4,Tm,8,1.67,109.47,3.374,0.006,12,3.3,UFF4MOF2,,,,,,
U_6+4,U,6,1.684,90,3.395,0.022,12,3.9,UFF,,0,0,3.341,2.853,1.713
U_6f3,U,6,1.65,90,3.395,0.022,12,3.9,UFF4MOF2,,,,,,
U_8f4,U,8,1.73,109.47,3.395,0.022,12,3.9,UFF4MOF2,,,,,,
V_3+5,V,4,1.402,109.47,3.144,0.016,12,2.679,UFF,,0,0.7,3.65,3.41,1.47
V_3f2,V,4,1.12,109.47,3.144,0.016,12,2.679,UFF4MOF2,,,,,,
V_4+2,V,4,1.18,90,3.144,0.016,12,2.679,UFF4MOF,,,,,,
V_6+3,V,6,1.3,90,3.144,0.016,12,2.679,UFF4MOF,,,,,,
W_3+4,W,4,1.526,109.47,3.069,0.067,12,3.7,UFF,,0,0.1,4.63,3.31,1.538
W_3+6,W,4,1.38,109.47,3.069,0.067,12,3.7,UFF,,0,0.1,4.63,3.31,1.538
W_3f2,W,4,1.16,109.47,3.069,0.067,12,3.7,UFF4MOF2,,,,,,
W_4f2,W,4,1.345,90,3.069,0.067,12,3.7,UFF4MOF2,,,,,,
W_6+6,W,6,1.392,90,3.069,0.067,12,3.7,UFF,,0,0.1,4.63,3.31,1.538
W_8f4,W,4,1.27,109.47,3.069,0.067,12,3.7,UFF4MOF2,,,,,,
